glucose,raw,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47
153.0,2265,2287,2305,2319,2336,2345,2354,2376,2405,2429,2439,2440,2417,2429,2436,2433,2400,2480,2462,2447,2378,2260,2440,2636,2609,2392,2435,2451,2307,2170,2134,1827,1611,1453,1374,1361,1362,1178,1093,1113,1108,1060,1052,986,1076,1310,1565,1957
86.4,1305,1308,1310,1316,1318,1322,1330,1334,1339,1342,1345,1349,1356,1360,1364,1365,1324,1380,1403,1393,1377,1363,1371,1423,1414,1388,1416,1468,1444,1499,1568,1590,1627,1598,1578,1633,1716,1758,1750,1843,1777,1941,1956,1984,2039,2099,2103,2249
194.4,2838,2833,2836,2803,2793,2792,2801,2739,2685,2630,2606,2574,2537,2499,2472,2440,2692,2106,1504,1504,1467,1499,1140,1057,1141,1307,1452,1564,1647,1706,1439,1004,1025,1267,1464,1649,1668,1759,1913,2007,2162,2466,2531,2250,1884,1576,1406,1339
68.4,1064,1057,1060,1057,1065,1058,1092,1080,1073,1062,1061,1074,1075,1064,1052,1058,1064,1168,1098,1025,1280,1580,1673,1488,1001,978,1052,1185,1298,877,743,906,1323,1640,1785,1861,1715,1488,1334,1405,1352,1411,1470,1422,1464,1538,1479,1432
156.6,2305,2396,2404,2339,2345,2309,2341,2360,2371,2374,2401,2404,2395,2364,2351,2348,2323,2365,2335,2325,2530,2444,2249,1942,1821,1528,1475,1548,1530,1363,1237,1088,1064,1168,1098,1025,1280,1580,1673,1488,1001,978,1052,1185,1298,877,743,906
93.6,1412,1432,1436,1443,1449,1442,1426,1435,1446,1452,1471,1488,1505,1523,1539,1552,1533,1800,1612,1383,1293,1482,1696,1966,1872,1591,1254,1073,1354,1600,1897,2107,2090,2017,1977,1974,1961,1998,2112,2327,2202,2264,2451,2559,2434,2251,2078,1456
99.0,1489,1464,1468,1462,1461,1461,1465,1451,1460,1472,1487,1506,1519,1524,1526,1535,1467,1499,1140,1057,1141,1307,1452,1564,1647,1706,1439,1004,1025,1267,1464,1649,1668,1759,1913,2007,2162,2466,2531,2250,1884,1576,1406,1339,1406,1448,1502,1456
46.8,745,740,735,731,728,723,720,717,715,711,708,704,701,698,693,691,711,672,650,671,752,906,1150,1462,1706,1952,2162,1774,1269,955,1018,1103,1163,1310,1566,1633,1785,2013,2076,2147,2207,2302,2376,2766,2858,2729,2764,2610
75.6,1160,1153,1149,1153,1155,1148,1144,1142,1137,1131,1131,1129,1131,1137,1140,1139,1148,1112,1118,1233,1580,1948,2227,2190,1697,1063,743,958,1281,1813,2146,2357,2484,2759,2774,2570,2502,2227,1991,1716,1654,1617,1596,1460,1444,1459,1508,1586
111.6,1669,1647,1619,1590,1574,1584,1578,1565,1556,1556,1557,1565,1571,1584,1592,1595,1567,1688,1649,1630,1690,1702,1262,980,845,1002,1186,1226,1179,1178,1252,1411,1791,1852,1482,1206,916,663,653,923,1265,1788,1830,1604,1555,1743,1854,1665
